ID;Position;ParentID;Type;Key;Title;Description;ReleasePolicy;Datatype;Unit;Decimals;Default
33;;3;TopicGroup;;Burgerlijke staat;"Vanaf 2010 is een kleine verschuiving tussen de verschillende burgerlijke staten zichtbaar (minder ongehuwd en meer gescheiden respectievelijk verweduwd).
Dit komt omdat in de periode 1998 tot 2010 niet alle burgerlijke staten beschikbaar zijn in de bronbestanden die het CBS gebruikt. De burgerlijke staten 'verweduwd na partnerschap' en 'gescheiden na partnerschap' worden daardoor binnen deze statistiek binnen deze periode genegeerd. 
Voor deze statistiek betekent dit dat de burgerlijke staat van vóór het partnerschap is gebruikt wat in de meeste gevallen ongehuwd was.";;;;;
34;;33;TopicGroup;;Totale bevolking;;;;;;
35;26;34;Topic;Ongehuwd_25;Ongehuwd;Burgerlijke staat die aangeeft dat een persoon nog nooit een huwelijk heeft gesloten of een geregistreerd partnerschap is aangegaan.;;Double;aantal;0;Impossible
36;27;34;Topic;Gehuwd_26;Gehuwd;"Burgerlijke staat die ontstaat na sluiting van een huwelijk of het aangaan van een geregistreerd partnerschap. Inclusief personen die gescheiden zijn van tafel en bed, want zij blijven formeel gehuwd.
Per 1 januari 1998 is in Nederland het geregistreerd partnerschap ingevoerd. De registratie van het partnerschap in de gemeentelijke basisadministratie (GBA) is mogelijk voor paren van gelijk en van verschillend geslacht.
Vanaf 1999 zijn personen die een geregistreerd partnerschap zijn aangegaan geteld bij de gehuwden.
Sinds 1 april 2001 is het in Nederland ook voor paren van gelijk geslacht mogelijk in het huwelijk te treden.";;Double;aantal;0;Impossible
37;28;34;Topic;Gescheiden_27;Gescheiden;"Burgerlijke staat die ontstaat na ontbinding van een huwelijk door echtscheiding of na ontbinding van een geregistreerd partnerschap anders dan door het overlijden van de partner. 
Behalve personen die gescheiden zijn van tafel en bed, want zij blijven formeel gehuwd.";;Double;aantal;0;Impossible
38;29;34;Topic;Verweduwd_28;Verweduwd;Burgerlijke staat die ontstaat na ontbinding van een huwelijk of geregistreerd partnerschap door overlijden van de partner.;;Double;aantal;0;Impossible
39;;33;TopicGroup;;Bevolking 15 jaar of ouder;;;;;;
40;30;39;Topic;Inwoners15JaarOfOuder_29;Inwoners 15 jaar of ouder;;;Double;aantal;0;Impossible
41;31;39;Topic;Ongehuwd_30;Ongehuwd;Burgerlijke staat die aangeeft dat een persoon nog nooit een huwelijk heeft gesloten of een geregistreerd partnerschap is aangegaan.;;Double;in % van  inwoners 15 jaar of ouder;1;Impossible
42;32;39;Topic;Gehuwd_31;Gehuwd;"Burgerlijke staat die ontstaat na sluiting van een huwelijk of het aangaan van een geregistreerd partnerschap. Inclusief personen die gescheiden zijn van tafel en bed, want zij blijven formeel gehuwd.
Per 1 januari 1998 is in Nederland het geregistreerd partnerschap ingevoerd. De registratie van het partnerschap in de gemeentelijke basisadministratie (GBA) is mogelijk voor paren van gelijk en van verschillend geslacht.
Vanaf 1999 zijn personen die een geregistreerd partnerschap zijn aangegaan geteld bij de gehuwden.
Sinds 1 april 2001 is het in Nederland ook voor paren van gelijk geslacht mogelijk in het huwelijk te treden.";;Double;in % van  inwoners 15 jaar of ouder;1;Impossible
43;33;39;Topic;Gescheiden_32;Gescheiden;"Burgerlijke staat die ontstaat na ontbinding van een huwelijk door echtscheiding of na ontbinding van een geregistreerd partnerschap anders dan door het overlijden van de partner. 
Behalve personen die gescheiden zijn van tafel en bed, want zij blijven formeel gehuwd.";;Double;in % van  inwoners 15 jaar of ouder;1;Impossible
44;34;39;Topic;Verweduwd_33;Verweduwd;Burgerlijke staat die ontstaat na ontbinding van een huwelijk of geregistreerd partnerschap door overlijden van de partner.;;Double;in % van  inwoners 15 jaar of ouder;1;Impossible
45;;3;TopicGroup;;Migratieachtergrond;Kenmerk dat weergeeft met welk land een persoon verbonden is op basis van het geboorteland van de ouders of van zichzelf.;;;;;
46;;45;TopicGroup;;Migratieachtergrond;;;;;;
47;35;46;Topic;NederlandseAchtergrond_34;Nederlandse achtergrond;"Persoon met een Nederlandse achtergrond

Persoon van wie de beide ouders in Nederland zijn geboren.
";;Double;aantal;0;Impossible
48;;46;TopicGroup;;Met migratieachtergrond;"Persoon met een migratieachtergrond

Persoon van wie ten minste één ouder in het buitenland is geboren.";;;;;
49;36;48;Topic;TotaalMetMigratieachtergrond_35;Totaal met migratieachtergrond;"Totaal personen met een migratieachtergrond

Personen van wie ten minste één ouder in het buitenland is geboren.";;Double;aantal;0;Impossible
50;37;48;Topic;WesterseMigratieachtergrond_36;Westerse migratieachtergrond;"Persoon met een westerse migratieachtergrond

Persoon met als migratieachtergrond een van de landen in Europa (exclusief Turkije), Noord-Amerika en Oceanië, en Indonesië en Japan.

Op grond van hun sociaal- economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin.
";;Double;aantal;0;Impossible
51;;48;TopicGroup;;Niet-westerse migratieachtergrond;"Persoon met een niet-westerse migratieachtergrond

Persoon met als migratieachtergrond een van de landen in Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije. 

Op grond van hun sociaal-economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin.
";;;;;
52;38;51;Topic;TotaalNietWesterseMigratieachtergrond_37;Totaal niet-westerse migratieachtergrond;"Totaal personen met een niet-westerse migratieachtergrond

Personen met als migratieachtergrond een van de landen in Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije. 

Op grond van hun sociaal-economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin.
";;Double;aantal;0;Impossible
53;39;51;Topic;Marokko_38;Marokko;Personen met als migratieachtergrond Marokko, Ifni, Spaanse Sahara, Westelijke Sahara.;;Double;aantal;0;Impossible
54;40;51;Topic;VoormaligeNederlandseAntillenAruba_39;(voormalige) Nederlandse Antillen, Aruba;"Personen met als migratieachtergrond (voormalige) Nederlandse Antillen en Aruba.

Betreft een samentelling van de eilanden die tot het grondgebied van de Nederlandse Antillen en Aruba van vóór 10 oktober 2010 behoorden. Het gaat om de eilanden Bonaire, Curaçao, Saba, Sint-Eustatius, Sint-Maarten en Aruba. 

Vanaf 10 oktober 2010 zijn de Nederlandse Antillen ontbonden. Het Koninkrijk der Nederlanden bestaat dan uit vier landen: Nederland, Aruba, Curaçao en Sint Maarten. Alle eilanden hebben een nieuwe status. 
Curaçao en Sint Maarten zijn nieuwe landen binnen het Koninkrijk. Met een 'Status aparte' binnen het Koninkrijk zijn Curaçao en Sint Maarten autonome landen. De landen hebben een zelfstandig bestuur en zijn niet meer afhankelijk van Nederland. De openbare lichamen Bonaire, Sint Eustatius en Saba, ook wel Caribisch Nederland, hebben een diepere band met Nederland en functioneren als bijzondere gemeente van Nederland. 

Op 1 januari 1986 werd Aruba afgescheiden van de Nederlandse Antillen. Sinds die datum is Aruba een nieuw land binnen het Koninkrijk de Nederlanden. Met een 'Status aparte' binnen het Koninkrijk is Aruba een autonoom land. Aruba heeft een zelfstandig bestuur en is niet meer afhankelijk van Nederland.
";;Double;aantal;0;Impossible
55;41;51;Topic;Suriname_40;Suriname;Personen met als migratieachtergrond Suriname.;;Double;aantal;0;Impossible
56;42;51;Topic;Turkije_41;Turkije;Personen met als migratieachtergrond Turkije.;;Double;aantal;0;Impossible
57;43;51;Topic;OverigNietWesterseMigratieachtergrond_42;Overig niet-westerse migratieachtergrond;Alle personen met een niet-westerse migratieachtergrond waarvan de migratieachtergrond niet gelijk is aan Turkije, Marokko, Suriname, de Nederlandse Antillen of Aruba.;;Double;aantal;0;Impossible
58;;45;TopicGroup;;Migratieachtergrond, relatief;;;;;;
59;44;58;Topic;NederlandseAchtergrond_43;Nederlandse achtergrond;Personen van wie de beide ouders in Nederland zijn geboren als percentage van het totaal aantal inwoners per 1 januari.;;Double;%;1;Impossible
60;;58;TopicGroup;;Met migratieachtergrond;Personen van wie ten minste één ouder in het buitenland is geboren als percentage van het totaal aantal inwoners per 1 januari.;;;;;
61;45;60;Topic;TotaalMetMigratieachtergrond_44;Totaal met migratieachtergrond;Personen van wie ten minste één ouder in het buitenland is geboren, als percentage van het totaal aantal inwoners per 1 januari;;Double;%;1;Impossible
62;46;60;Topic;WesterseMigratieachtergrond_45;Westerse migratieachtergrond;Personen met als migratieachtergrond een van de landen in Europa (exclusief Turkije), Noord-Amerika en Oceanië, en Indonesië en Japan, als percentage van het totaal aantal inwoners per 1 januari.;;Double;%;1;Impossible
63;;60;TopicGroup;;Niet-westerse migratieachtergrond;"Persoon met een niet-westerse migratieachtergrond

Personen met als migratieachtergrond een van de landen in Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije, als percentage van het totaal aantal inwoners per 1 januari.

Op grond van hun sociaal-economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin.";;;;;
64;47;63;Topic;TotaalNietWesterseMigratieachtergrond_46;Totaal niet-westerse migratieachtergrond;"Personen met als migratieachtergrond een van de landen in Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije, als percentage van het totaal aantal inwoners per 1 januari.

Op grond van hun sociaal-economische en sociaal-culturele positie worden personen met een migratieachtergrond uit Indonesië en Japan tot de westerse migratieachtergrond gerekend. Het gaat vooral om mensen die in het voormalig Nederlands-Indië zijn geboren en werknemers van Japanse bedrijven met hun gezin.";;Double;%;1;Impossible
65;48;63;Topic;Marokko_47;Marokko;"Personen met als migratieachtergrond Marokko, Ifni, Spaanse Sahara of
Westelijke Sahara, als percentage van het totaal aantal inwoners per 1 januari.
";;Double;%;1;Impossible
66;49;63;Topic;VoormaligeNederlandseAntillenAruba_48;(voormalige) Nederlandse Antillen, Aruba;"Personen met als migratieachtergrond (voormalige) Nederlandse Antillen en Aruba, als percentage van het totaal aantal inwoners per 1 januari.

Betreft een samentelling van de eilanden die tot het grondgebied van de Nederlandse Antillen en Aruba van vóór 10 oktober 2010 behoorden. Het gaat om de eilanden Bonaire, Curaçao, Saba, Sint-Eustatius, Sint-Maarten en Aruba. 

Vanaf 10 oktober 2010 zijn de Nederlandse Antillen ontbonden. Het Koninkrijk der Nederlanden bestaat dan uit vier landen: Nederland, Aruba, Curaçao en Sint Maarten. Alle eilanden hebben een nieuwe status. 
Curaçao en Sint Maarten zijn nieuwe landen binnen het Koninkrijk. Met een 'Status aparte' binnen het Koninkrijk zijn Curaçao en Sint Maarten autonome landen. De landen hebben een zelfstandig bestuur en zijn niet meer afhankelijk van Nederland. De openbare lichamen Bonaire, Sint Eustatius en Saba, ook wel Caribisch Nederland, hebben een diepere band met Nederland en functioneren als bijzondere gemeente van Nederland. 

Op 1 januari 1986 werd Aruba afgescheiden van de Nederlandse Antillen. Sinds die datum is Aruba een nieuw land binnen het Koninkrijk de Nederlanden. Met een 'Status aparte' binnen het Koninkrijk is Aruba een autonoom land. Aruba heeft een zelfstandig bestuur en is niet meer afhankelijk van Nederland.
";;Double;%;1;Impossible
67;50;63;Topic;Suriname_49;Suriname;Personen met als migratieachtergrond Suriname, als percentage van het totaal aantal inwoners per 1 januari.;;Double;%;1;Impossible
68;51;63;Topic;Turkije_50;Turkije;Personen met als migratieachtergrond Turkije, als percentage van het totaal aantal inwoners per 1 januari.;;Double;%;1;Impossible
69;52;63;Topic;OverigNietWesterseMigratieachtergrond_51;Overig niet-westerse migratieachtergrond;Alle personen met een niet-westerse migratieachtergrond waarvan de migratieachtergrond niet gelijk is aan Turkije, Marokko, Suriname, de Nederlandse Antillen of Aruba, als percentage van het totaal aantal inwoners per 1 januari.;;Double;%;1;Impossible
70;;3;TopicGroup;;Stedelijkheidsklasse;"Inwoners naar stedelijkheid op 1 januari afgerond op tientallen. De som van de afgeronde getallen is hierdoor niet altijd gelijk aan de afgeronde som.

De stedelijkheid is een maat voor de concentratie van menselijke activiteiten (zoals wonen, werken, schoolgaan, winkelen en uitgaan) en gebaseerd op de gemiddelde omgevingsadressendichtheid (OAD).
 
Vanaf 2015 is gebruik gemaakt van de Basisregistraties Adressen en Gebouwen (BAG) als bron voor de OAD. Hiervoor werd het Geografisch Basisregister (GBR) als bron gebruikt. Deze bronwijziging veroorzaakt een trendbreuk in de cijfers ten opzichte van 2014. De veranderingen die te maken hebben met deze bronwijziging betreffen onder andere:
- De objecten zijn nu grondslag en niet de adressen. De BAG bevat vaak meer objecten dan er voorheen adressen waren;
- Van alle objecten is nu direct al de exacte geografische locatie bekend. Voorheen was die van een groot aantal nieuwe adressen nog niet bekend;
- Veel gemeenten voeren nu alle recreatiewoningen op. Wanneer deze dicht bij de kern liggen verhogen ze de OAD.

Voor de berekening van de gemiddelde OAD wordt eerst voor ieder adres de OAD vastgesteld. Dat is het aantal adressen binnen een cirkel met een straal van één kilometer rondom een adres, gedeeld door de oppervlakte van de cirkel. De OAD wordt uitgedrukt in adressen per km².
Daarna is het gemiddelde berekend van de omgevingsadressendichtheid van alle afzonderlijke adressen binnen het beschouwde gebied. De hier gebruikte OAD komt overeen met de definitieve OAD in de StatLine-publicatie Maatstaven Financiële-verhoudingswet (Fvw). 
De definitieve OAD wordt gebruikt voor de vaststelling van de definitieve uitkering voor het Gemeentefonds, dus inclusief gemeentelijke herindelingen, grenscorrecties, sloop en nieuwe adressen.
Voor de berekening per gemeente (of bijvoorbeeld provincie) van het aantal inwoners naar stedelijkheidsklasse wordt per vierkant van 500 bij 500 m aan de hand van de gemiddelde OAD van dat vierkant de stedelijkheidsklasse bepaald. Vervolgens zijn per categorie van de stedelijkheidsklasse de inwoners van de betreffende gemeente samengeteld.

Er worden vijf categorieën onderscheiden:
- zeer sterk stedelijk: gemiddelde OAD van 2 500 of meer adressen per km²;
- sterk stedelijk: gemiddelde OAD van 1 500 tot 2 500 adressen per km²;
- matig stedelijk: gemiddelde OAD van 1 000 tot 1 500 adressen per km²;
- weinig stedelijk: gemiddelde OAD van 500 tot 1 000 adressen per km²;
- niet stedelijk: gemiddelde OAD van minder dan 500 adressen per km².";;;;;
71;53;70;Topic;ZeerSterkStedelijk_52;Zeer sterk stedelijk;Gebied met een omgevingsadressendichtheid groter of gelijk aan 2 500 adressen per vierkante kilometer.;;Double;aantal;0;Impossible
72;54;70;Topic;SterkStedelijk_53;Sterk stedelijk;Gebied met een omgevingsadressendichtheid groter of gelijk aan 1 500 en kleiner dan 2 500 adressen per vierkante kilometer.;;Double;aantal;0;Impossible
73;55;70;Topic;MatigStedelijk_54;Matig stedelijk;Gebied met een omgevingsadressendichtheid groter of gelijk aan 1 000 en kleiner dan 1 500 adressen per vierkante kilometer.;;Double;aantal;0;Impossible
74;56;70;Topic;WeinigStedelijk_55;Weinig stedelijk;Gebied met een omgevingsadressendichtheid groter of gelijk aan 500 en kleiner dan 1 000 adressen per vierkante kilometer.;;Double;aantal;0;Impossible
75;57;70;Topic;NietStedelijk_56;Niet stedelijk;Gebied met een omgevingsadressendichtheid kleiner dan 500 adressen per vierkante kilometer.;;Double;aantal;0;Impossible
76;58;3;Topic;Bevolkingsdichtheid_57;Bevolkingsdichtheid;"Aantal inwoners op 1 januari per km² land.

Door verschillende niveaus van afronding van de oppervlakte land bij de berekening van de bevolkingsdichtheid kunnen elders gepubliceerde cijfers incidenteel miniem afwijken van de cijfers in deze tabel.";;Double;aantal inwoners per km²;0;Impossible
77;;2;TopicGroup;;Bevolkingsontwikkeling;"De manier waarop de cijfers over bevolkingsontwikkeling worden geproduceerd is in 2014 gewijzigd. Dit heeft tot gevolg dat de cijfers van bevolkingsontwikkeling over 2013 in verschillende tabellen soms niet overeenkomen. De verschillen zijn minimaal en treden alleen op in 2013.

Verwerking grenswijziging Rotterdam en Rozenburg in 2010:
Per 18 maart 2010 is de gemeente Rozenburg opgeheven en in zijn geheel overgegaan naar de gemeente Rotterdam.
Voor de overzichtelijkheid zijn de cijfers met betrekking tot geboorte, sterfte, buitenlandse migratie en verhuizingen in Rozenburg voor geheel 2010 bij Rotterdam geteld.
Voor Rozenburg zijn dus geen gegevens over de bevolkingsontwikkeling in 2010 beschikbaar.
De bevolkingsgroei van Rotterdam is steeds gerelateerd aan de bevolkingsaantallen van Rotterdam en Rozenburg samen.
";;;;;
78;;77;TopicGroup;;Geboorte en sterfte;;;;;;
79;59;78;Topic;Geboorte_58;Geboorte;"Het aantal levendgeborenen van 1 januari tot en met 31 december van het betreffende jaar. Levendgeborenen zijn kinderen die na de geboorte enig teken van leven hebben vertoond, ongeacht de zwangerschapsduur. 
Elke levendgeborene is geteld naar de woongemeente van de geborene en dus niet naar de gemeente waar de geboorte heeft plaatsgevonden.";;Double;aantal;0;Impossible
80;60;78;Topic;GeboorteRelatief_59;Geboorte, relatief;Het aantal levendgeborenen van 1 januari tot en met 31 december van het betreffende jaar per duizend van de gemiddelde bevolking.;;Double;per 1 000 inwoners;1;Impossible
81;61;78;Topic;Sterfte_60;Sterfte;"Het aantal overledenen van 1 januari tot en met 31 december van het betreffende jaar waarbij een bevoegde arts een overlijdensakte heeft ondertekend. Elke overledene is geteld naar de woongemeente van de overledene en dus niet naar de gemeente waar het overlijden heeft
plaatsgevonden.";;Double;aantal;0;Impossible
82;62;78;Topic;SterfteRelatief_61;Sterfte, relatief;"Het aantal overledenen van 1 januari tot en met 31 december van het betreffende jaar waarbij een bevoegde arts een overlijdensakte heeft ondertekend, per duizend van de gemiddelde bevolking. 
Elke overledene is geteld naar de woongemeente van de overledene en dus niet naar de gemeente waar het overlijden heeft plaatsgevonden.";;Double;per 1 000 inwoners;1;Impossible
83;63;78;Topic;Geboorteoverschot_62;Geboorteoverschot;Het aantal levendgeborenen min het aantal sterfgevallen. Ook wel: natuurlijke bevolkingsgroei.;;Double;aantal;0;Impossible
84;64;78;Topic;GeboorteoverschotRelatief_63;Geboorteoverschot, relatief;Geboorteoverschot per duizend van de gemiddelde bevolking.;;Double;per 1 000 inwoners;1;Impossible
85;;78;TopicGroup;;Doodsoorzaken;"Het CBS is in het statistiekjaar 2013 overgestapt op het gebruik van internationale software voor automatisch coderen van de doodsoorzaken. Hiermee zijn de cijfers beter reproduceerbaar en internationaal vergelijkbaar. Wel zijn er eenmalig enkele forse verschuivingen te zien in de doodsoorzaken.

Onderliggende doodsoorzaak
De gebruikte doodsoorzaakcodes zijn afkomstig uit de lijst van 'drie-teken categorieën' van de International Statistical Classification of Diseases and Related Health Problems (ICD, 10e revisie) van de World Health Organization (WHO).
Het coderen volgens de richtlijnen van de WHO houdt in dat slechts één ziekte of gebeurtenis als onderliggende doodsoorzaak, of voorheen primaire doodsoorzaak, kan worden aangemerkt. De onderliggende doodsoorzaak is gedefinieerd als de ziekte of de gebeurtenis waarmee de aaneenschakeling van gebeurtenissen die tot de dood leidde, startte. Bij een zogenaamde uitwendige doodsoorzaak (ongeval, geweld of bijvoorbeeld suïcide) wordt vrijwel altijd de gebeurtenis als onderliggende doodsoorzaak aangemerkt en het ontstane letsel apart gecodeerd.
";;;;;
86;65;85;Topic;Nieuwvormingen_64;Nieuwvormingen;"Ziekelijke weefselontaarding. Er worden zowel goedaardige als kwaadaardige gezwellen (kanker), inclusief kwaadaardige bloedziekten onder verstaan (ICD-10 codes C00-D48).
";;Double;aantal;0;Impossible
87;66;85;Topic;ZiektenVanHartEnVaatstelsel_65;Ziekten van hart en vaatstelsel;"Ziekten van hart en vaatstelsel.
Volgens classificatielijst ICD-10: codes I00-I99.";;Double;aantal;0;Impossible
88;67;85;Topic;ZiektenVanAdemhalingsstelsel_66;Ziekten van ademhalingsstelsel;"Ziekten van ademhalingsstelsel.
Volgens classificatielijst ICD-10: codes J00-J99.";;Double;aantal;0;Impossible
89;68;85;Topic;UitwendigeDoodsoorzaken_67;Uitwendige doodsoorzaken;"Niet-natuurlijke doodsoorzaken: ongevallen, zelfdoding, moord en doodslag, gebeurtenissen waarvan opzet onbekend is en overige uitwendige oorzaken van sterfte.
Volgens classificatielijst ICD-10: codes V01-Y89.";;Double;aantal;0;Impossible
90;69;85;Topic;OverigeDoodsoorzaken_68;Overige doodsoorzaken;"Overige doodsoorzaken (alle doodsoorzaken met uitzondering van nieuwvormingen, ziekten van hart en vaatstelsel, ziekten van ademhalingsstelsel en uitwendige doodsoorzaken).
Volgens classificatielijst ICD-10: codes A00-Y89 met uitzondering van codes C00-D48, I00-I99, J00-J99 en V01-Y89.";;Double;aantal;0;Impossible
91;;77;TopicGroup;;Verhuizingen;;;;;;
92;70;91;Topic;VestigingUitAndereGemeente_69;Vestiging uit andere gemeente;Gevestigd in de gemeente komend uit een andere gemeente binnen Nederland.;;Double;aantal;0;Impossible
93;71;91;Topic;VertrekNaarAndereGemeente_70;Vertrek naar andere gemeente;Vertrokken uit de gemeente naar een andere gemeente binnen Nederland.;;Double;aantal;0;Impossible
94;72;91;Topic;BinnenlandsMigratiesaldo_71;Binnenlands migratiesaldo;"Het aantal gevestigde personen (uit een andere gemeente binnen Nederland) min het aantal vertrokken personen (naar een andere gemeente binnen Nederland).

";;Double;aantal;0;Impossible
95;73;91;Topic;BinnenlandsMigratiesaldoRelatief_72;Binnenlands migratiesaldo, relatief;"Binnenlands migratiesaldo per duizend van de gemiddelde bevolking.

Binnenlands migratiesaldo:
Het aantal gevestigde personen (uit een andere gemeente binnen Nederland) min het aantal vertrokken personen (naar een andere gemeente binnen Nederland).";;Double;per 1 000 inwoners;1;Impossible
96;74;91;Topic;VerhuismobiliteitRelatief_73;Verhuismobiliteit, relatief;"Verhuismobiliteit per duizend van de gemiddelde bevolking.

Verhuismobiliteit:
Cijfer dat de mobiliteit van binnenlandse verhuizingen in een bepaalde regio (gemeente, provincie, landsdeel) weergeeft. 
De verhuismobiliteit van een regio wordt berekend als het totaal van de binnen gemeenten verhuisde personen in de regio plus de halve som van de tussen gemeenten verhuisde
personen (vestigers plus vertrekkers) in de regio.
De verhuismobiliteit van Nederland is gelijk aan de som van alle binnen de gemeenten verhuisde personen en tussen gemeenten verhuisde personen.";;Double;per 1 000 inwoners;1;Impossible
